step,true_x,true_y,true_z,meas_x,meas_y,meas_z,est_x,est_y,est_z,error,ess,ci_low_x,ci_high_x,ci_low_y,ci_high_y,ci_low_z,ci_high_z
0,0.617355,0.808633,0.859837,0.588946,6.163782,-0.746722,0.862854,5.920325,-1.358152,5.577557,22.339728,-3.085496,4.811204,1.706277,10.134373,-5.239003,2.522699
1,1.715123,1.669948,0.392127,3.230729,4.766197,3.261330,2.746020,5.763624,0.984170,4.262799,74.244171,-0.241618,5.733658,2.829854,8.697395,-1.867111,3.835450
2,2.607336,2.567504,0.775966,3.086285,1.862986,2.420069,3.505065,4.517085,1.834464,2.393157,102.187015,0.694810,6.315321,1.893754,7.140415,-0.826553,4.495481
3,2.569474,3.532377,0.773209,1.344946,5.901349,-1.789018,3.355634,5.335457,0.768192,1.967020,133.777489,0.887992,5.823276,2.661583,8.009330,-1.894774,3.431158
4,3.043522,3.802197,1.033083,-0.072503,7.294138,1.316285,2.411150,6.608455,1.327325,2.891636,165.018096,-0.120778,4.943078,3.899659,9.317251,-1.069379,3.724029
5,3.908491,3.894829,1.091315,3.524998,2.731931,1.280637,3.155817,5.104469,1.647293,1.529333,131.807277,0.506453,5.805182,2.411590,7.797348,-0.995606,4.290192
6,4.302986,4.530178,1.481947,9.321251,4.347287,-1.609381,6.263496,5.163220,0.446715,2.305656,51.966895,3.458100,9.068892,2.837289,7.489152,-2.224627,3.118058
7,5.672323,4.930826,1.772387,8.911458,6.423144,1.209584,7.969650,5.892822,0.657675,2.728687,314.437409,5.413458,10.525843,3.376070,8.409575,-1.705169,3.020519
8,7.627836,5.690225,2.589489,8.026519,4.723577,5.715193,8.335862,5.288858,3.007264,0.914840,105.302467,5.720561,10.951162,2.655551,7.922166,0.346805,5.667724
9,8.010203,5.189099,2.663056,7.253702,4.924989,1.148015,8.416371,5.239674,2.531883,0.429810,236.682527,5.733188,11.099554,2.714545,7.764803,-0.026880,5.090646
10,8.763310,6.061577,3.097680,9.373220,7.268327,2.467708,9.327257,6.137022,2.677018,0.707591,322.302411,6.864020,11.790494,3.705869,8.568175,0.131803,5.222233
11,9.772731,6.370005,3.775510,5.701042,6.963256,4.218875,7.925804,6.343754,3.480554,1.870515,125.447173,5.169313,10.682295,3.535815,9.151693,0.787798,6.173309
12,10.762336,7.033262,4.020299,11.774135,6.053312,6.214601,9.986437,6.474617,5.246806,1.555129,147.366106,7.239909,12.732965,3.641308,9.307926,2.258362,8.235250
13,11.804898,8.166558,3.679056,13.283826,7.864595,4.842543,12.055800,7.248323,5.345249,1.918933,220.079967,9.230998,14.880602,4.467595,10.029052,2.376836,8.313662
14,11.425750,9.128113,3.425875,9.741787,10.610714,4.327476,11.505011,9.104538,5.016341,1.592615,130.253797,8.818548,14.191474,6.205098,12.003977,2.187929,7.844754
15,12.473476,10.584418,3.726685,16.594513,13.363335,6.373334,14.181473,11.544919,5.667882,2.758272,73.623417,11.124344,17.238603,8.492717,14.597121,2.992508,8.343255
16,13.569284,11.821147,3.804030,14.554586,13.558817,6.375971,14.887625,12.951083,6.222046,2.976840,333.450975,12.308922,17.466328,10.349071,15.553094,3.627440,8.816652
17,14.989136,11.373410,4.334278,14.151694,10.804269,4.981303,15.160657,11.974427,5.764315,1.560656,154.497607,12.062518,18.258796,8.943361,15.005494,2.874463,8.654167
18,15.396943,11.686337,4.426433,14.828593,12.391036,4.483367,15.463951,12.513552,5.281956,1.191929,296.064721,12.774843,18.153058,9.937028,15.090075,2.700235,7.863677
19,16.954464,11.954558,4.849009,19.033868,16.132306,3.898926,18.040166,14.728630,4.919437,2.979797,141.313741,15.310900,20.769431,11.839831,17.617430,2.043933,7.794942
20,17.499319,12.309774,4.142707,17.794320,12.851539,4.019539,18.445120,14.186034,4.506116,2.132360,208.315113,15.759252,21.130989,11.379002,16.993067,1.466301,7.545931
21,18.634036,12.610012,3.742652,18.650914,12.292333,1.980353,19.109846,13.808514,3.355141,1.346465,211.590838,16.482641,21.737051,11.183718,16.433310,0.573050,6.137232
22,20.163663,13.556185,3.585476,21.449638,12.508875,3.312718,20.580578,13.503278,3.218360,0.558025,304.454654,17.998466,23.162691,10.880554,16.126003,0.621806,5.814915
