step,x,y,z,weight
0,9.603983,-8.371371,1.164505,0.000000
0,7.717030,-9.895325,6.097238,0.000000
0,9.410979,3.703503,5.310627,0.000000
0,8.520212,-10.609161,-1.793814,0.000000
0,9.803356,-1.153064,-1.937273,0.000000
0,3.223197,-1.421471,-2.283011,0.000034
0,-7.789592,3.241340,2.694215,0.000002
0,9.866780,-1.974420,4.875004,0.000000
0,-4.190854,-0.559431,-4.579305,0.000005
0,-3.841267,10.805039,0.167426,0.000768
0,5.318170,-6.480091,0.327650,0.000000
0,8.095321,-0.717371,-3.575892,0.000000
0,8.184161,-0.272594,-9.723379,0.000000
0,-2.554601,7.198611,1.119701,0.024090
0,2.214486,5.264739,-4.431684,0.017420
0,5.159854,-2.371919,-3.242991,0.000001
0,5.447721,5.551909,0.428627,0.006146
0,-4.035521,-7.504391,-5.010411,0.000000
0,9.281743,1.784079,1.109531,0.000001
0,2.181156,9.775933,-1.458025,0.019594
0,10.481053,7.443912,9.983949,0.000000
0,-8.151343,-1.839071,5.898757,0.000000
0,9.117627,10.258308,-6.069230,0.000000
0,-6.611063,2.178249,9.446070,0.000000
0,9.142091,-4.025994,-1.918675,0.000000
0,0.592500,-6.629597,10.472232,0.000000
0,4.550456,4.285723,-10.269761,0.000000
0,-7.977806,-0.734098,-11.050194,0.000000
0,3.520808,-6.354881,4.606600,0.000000
0,-6.091690,5.814388,-5.973459,0.000018
0,-7.266095,-1.330002,0.689310,0.000000
0,-4.501642,1.178304,8.997768,0.000000
0,-8.541436,9.380456,-1.493437,0.000001
0,-3.719327,-6.912627,8.039683,0.000000
0,6.846808,-2.190979,-8.127468,0.000000
0,-1.664203,-4.044522,0.299834,0.000000
0,-3.948509,1.292446,7.911066,0.000000
0,8.896697,3.172290,-8.049339,0.000000
0,7.796309,-3.824560,-1.336707,0.000000
0,5.349383,4.613307,2.918256,0.001190
0,-6.894874,-5.788953,2.956994,0.000000
0,-3.775027,-5.895010,7.289123,0.000000
0,-3.356981,-6.072349,-11.179534,0.000000
0,6.018736,0.032014,-0.045254,0.000031
0,-3.636032,-9.683383,-9.721096,0.000000
0,4.309624,4.749159,-3.960489,0.005555
0,0.499951,9.154075,1.025657,0.032296
0,-11.391635,1.163470,-2.421852,0.000000
0,-4.831473,0.877940,6.029623,0.000000
0,2.172162,-8.046616,3.319187,0.000000
0,3.350352,1.817617,4.859234,0.000105
0,5.955403,0.244584,-0.879800,0.000050
0,-7.236102,8.691069,2.975606,0.000006
0,7.261040,-6.394237,-3.134046,0.000000
0,-3.429593,3.939136,-4.528120,0.001754
0,6.674046,-3.412265,-3.198788,0.000000
0,3.684884,-5.969612,-5.749597,0.000000
0,10.275855,8.647630,2.539379,0.000000
0,6.921346,6.096064,9.720817,0.000000
0,0.007525,7.394765,5.625594,0.000725
0,-2.575950,-6.985772,-1.095721,0.000000
0,2.663242,7.240521,-3.142528,0.036092
0,8.657118,-4.938143,-9.527975,0.000000
0,5.864889,-3.323104,6.986262,0.000000
0,-6.111998,-5.495315,-5.177849,0.000000
0,-3.229034,6.650135,-3.926288,0.006494
0,1.565833,10.695019,-3.372953,0.004214
0,10.360987,7.257861,2.060345,0.000000
0,3.346507,-3.680625,8.013025,0.000000
0,-1.190911,2.157146,-1.365829,0.012626
0,6.529116,-5.112320,6.514573,0.000000
0,-9.235873,-8.527473,-9.293877,0.000000
0,-7.453190,-0.230997,-5.640285,0.000000
0,0.278312,2.533454,-0.015950,0.026052
0,3.392295,3.053553,-4.974808,0.001751
0,5.590689,-1.969210,-11.071106,0.000000
0,6.960331,6.731403,7.089716,0.000000
0,5.658945,-1.963519,7.143701,0.000000
0,-6.026583,3.691512,-8.157099,0.000000
0,9.101808,-5.795854,-6.762774,0.000000
0,-2.356010,-0.815834,-4.367435,0.000022
0,8.121966,4.277468,-0.447291,0.000077
0,3.997539,10.430991,-8.760093,0.000001
0,4.843088,-2.178506,-0.830930,0.000003
0,7.545389,1.057616,-9.097370,0.000000
0,10.587318,2.832403,-2.320399,0.000000
0,8.657663,-6.746245,-4.991932,0.000000
0,2.103404,-9.609809,1.539344,0.000000
0,-4.438090,-0.223266,-4.337466,0.000008
0,-1.463574,3.912071,2.968537,0.008171
0,0.324900,-8.576455,8.224846,0.000000
0,-1.055068,7.680500,8.669344,0.000001
0,-8.042678,0.080712,-3.568235,0.000000
0,-3.738123,1.574542,-3.311116,0.000445
0,-6.992031,0.913310,5.848474,0.000000
0,-7.536829,4.497669,6.951115,0.000000
0,0.630672,-8.304497,2.036276,0.000000
0,10.770005,0.283946,-4.143561,0.000000
0,5.388200,-4.109086,1.986330,0.000000
0,-5.064921,-2.764113,-4.129794,0.000000
0,7.362047,4.587896,9.555817,0.000000
0,0.715376,3.367391,-2.297115,0.040706
0,9.578354,-9.044098,-5.089725,0.000000
0,-2.356923,7.941279,4.505865,0.001060
0,6.577389,-2.007869,1.341049,0.000000
0,-1.643443,-0.676631,6.604033,0.000000
0,11.102432,0.218651,-4.276709,0.000000
0,7.504931,-1.319751,6.704564,0.000000
0,5.603140,7.712270,1.735957,0.002167
0,0.309061,-3.093252,7.704937,0.000000
0,11.671110,-2.940388,2.990757,0.000000
0,10.440025,-3.483285,7.785743,0.000000
0,6.244518,-8.969559,5.945954,0.000000
0,2.062873,1.413625,5.350809,0.000064
0,-3.500893,6.411156,1.549492,0.009288
0,-9.198021,3.384137,5.768872,0.000000
0,-1.028307,5.136473,4.646027,0.002441
0,-0.737726,-8.616391,-8.921836,0.000000
0,-4.048336,-6.154220,3.256101,0.000000
0,-7.522518,-5.269917,0.744897,0.000000
0,-5.999699,10.250238,1.404375,0.000045
0,1.825665,10.326171,5.581115,0.000093
0,2.593444,0.167967,11.432945,0.000000
0,2.434172,4.939591,-5.776342,0.003358
0,5.787494,-0.236678,-5.454712,0.000002
0,3.336260,-3.053578,-8.776356,0.000000
0,-1.518184,-4.212314,-4.951321,0.000000
0,0.592974,9.335504,-5.679014,0.001990
0,-4.798440,-9.668670,3.714844,0.000000
0,5.404359,-10.204464,-9.968624,0.000000
0,-5.477769,0.954492,-3.213278,0.000023
0,-4.663981,-2.343085,-5.062471,0.000000
0,7.078136,-6.786586,-7.208236,0.000000
0,-1.592476,3.504958,-5.250509,0.002644
0,4.286489,0.946301,1.259318,0.000533
0,-8.155122,-2.444543,-6.094042,0.000000
0,0.052376,-3.450926,-10.658803,0.000000
0,-5.673002,-1.743140,-2.081984,0.000000
0,4.257982,-5.921079,-7.255776,0.000000
0,1.033528,-2.914956,-7.275852,0.000000
0,1.288774,-0.848257,3.113268,0.000046
0,-3.136225,-2.330833,-7.806281,0.000000
0,4.968189,-5.560512,-0.309885,0.000000
0,4.075692,4.899485,10.096956,0.000000
0,9.924096,3.109944,8.635118,0.000000
0,8.875530,9.706684,-3.188930,0.000003
0,-2.355785,-3.540404,5.647063,0.000000
0,-3.238778,7.768190,-3.923265,0.004815
0,11.917608,-6.513723,4.538274,0.000000
0,5.864246,4.071622,10.227953,0.000000
0,3.012063,-8.101463,-4.287428,0.000000
0,6.416298,-10.713658,3.171701,0.000000
0,-4.859576,5.465305,-0.442608,0.003330
0,-4.104153,1.069537,-5.159992,0.000032
0,9.143336,10.578783,-1.044468,0.000001
0,-4.576484,-3.505326,0.670961,0.000000
0,7.907058,-5.489164,0.176447,0.000000
0,4.490062,3.521171,5.631278,0.000056
0,7.497671,7.002065,4.042094,0.000020
0,9.691649,-2.034600,0.189343,0.000000
0,-6.340397,-6.814845,-9.252954,0.000000
0,2.446785,-4.558378,-1.421183,0.000000
